Team,Year,GP,OFFRTG,W,Min,PACE,Passes Made,passes_made_100,Ast,Ast p100,Secondary Ast,secondary_ast_100,Potential Ast,potential_ast_100,Ast Adj,Ast Adj p100,Ast to Pass %,Ast to Pass % Adj,Pts,Touches,touches_100,ToP,Avg Sec/Touch,avg_dribbles_touch_100,Dribbles,dribbles_100,Pts/Touch,Post Ups,post_ups_100,Pts/Post Touch,Drives,drives_100,FGA Drives,FTA Drives,PTS Drives,PASS Drives,PASS Drives p100,drives_pass_rate,AST,AST%,DIST. FEET,DIST. MILES,dist_miles_off,DIST. MILES OFF p100,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,play_style_clusters
Los Angeles Lakers,2014-15,82,100.8,21,243.1,96.33,270.3,280.6,20.9,21.7,1.9,2,43.5,45.2,24.9,25.8,7.7,9.2,98.5,389.2,404,22,3.39,2.4,934.08,969.7,0.253,14.6,15.2,0.528,31.1,32.3,12.7,6.2,15.8,9.2,9.6,29.5,3.1,10,88092.3,16.68,9.01,9.4,7.68,4.12,4.33,3.9,Isolation
Memphis Grizzlies,2014-15,82,103.1,55,242.7,94.21,309,328,21.7,23,3.4,3.6,46.2,49,27.7,29.4,7,9,98.3,426.1,452.3,21.5,3.03,2.27,967.247,1026.7,0.231,26.1,27.7,0.529,29.3,31.1,13.3,3.9,15,8.8,9.3,30.2,2.6,9,88431.8,16.75,9.05,9.6,7.7,4.15,4.42,3.87,Moderate
Miami Heat,2014-15,82,101.5,37,240.6,93.26,304,326,19.7,21.1,2.6,2.8,44.1,47.3,24.8,26.6,6.5,8.2,94.6,418,448.2,21.6,3.1,2.35,982.3,1053.3,0.226,12.9,13.8,0.598,39,41.8,13.7,6,17.4,14.3,15.3,36.6,3.9,9.9,87014.1,16.48,8.94,9.6,7.54,4.12,4.38,3.84,Moderate
Milwaukee Bucks,2014-15,82,100.5,41,243.1,96.5,287.4,297.8,23.6,24.5,3.4,3.5,48.1,49.8,29.5,30.6,8.2,10.3,97.9,406.5,421.2,20.3,3,2.35,955.275,989.9,0.241,10.7,11.1,0.387,40.8,42.3,14.7,4.9,17.4,15.3,15.9,37.5,4,9.9,89540.9,16.96,8.75,9.1,8.21,4.19,4.52,3.89,Ball Movement
Minnesota Timberwolves,2014-15,82,99.8,16,241.5,96.96,277.7,286.4,21.6,22.3,2.4,2.5,46.7,48.2,26.8,27.6,7.8,9.7,97.7,398.4,410.9,21.1,3.17,2.37,944.208,973.8,0.245,21.1,21.8,0.532,26.5,27.3,11.6,4.6,13.6,7.8,8,29.4,2.2,8.1,88603.3,16.78,8.93,9.2,7.85,4.17,4.44,3.9,Moderate
New Orleans Pelicans,2014-15,82,105.4,45,241.2,93.7,270.7,288.9,22,23.5,1.9,2,43.9,46.9,26.7,28.5,8.1,9.9,99.4,386.2,412.2,22,3.41,2.69,1038.878,1108.7,0.257,10.1,10.8,0.585,42.9,45.8,18.5,5.1,20.7,13.3,14.2,31.1,4.5,10.6,87535.8,16.58,9.13,9.7,7.44,4.13,4.44,3.8,Moderate
New York Knicks,2014-15,82,97.1,17,242.2,93.67,362.4,386.9,21.3,22.7,2.8,3,47.9,51.1,26,27.8,5.9,7.2,92,479.8,512.2,21.5,2.69,1.8,863.64,922,0.192,23.8,25.4,0.399,24.6,26.3,10,4.3,12.1,7.7,8.2,31.4,2.5,10.2,89794.8,17.01,9.4,10,7.61,4.23,4.52,3.91,Ball Movement
Oklahoma City Thunder,2014-15,82,104.5,45,241.8,98.35,271,275.5,20.5,20.8,1.9,1.9,43,43.7,24.2,24.6,7.6,8.9,104,394.8,401.4,20.7,3.14,2.29,904.092,919.3,0.263,9.4,9.6,0.572,36.3,36.9,16.1,5.4,19.1,11.4,11.6,31.4,3.1,8.5,88371.8,16.74,8.9,9,7.84,4.17,4.5,3.85,Isolation
Orlando Magic,2014-15,82,99.6,25,240.9,95.89,279,291,20.6,21.5,2.5,2.6,43,44.8,24.8,25.9,7.4,8.9,95.7,397.5,414.5,20.6,3.11,2.55,1013.625,1057.1,0.241,14.3,14.9,0.465,42.5,44.3,18,5.3,18.8,14,14.6,33,3.8,8.9,88379.2,16.74,8.87,9.3,7.87,4.18,4.51,3.86,Isolation
Philadelphia 76ers,2014-15,82,93,18,241.5,98.28,326.4,332.1,20.5,20.9,2.1,2.1,46.9,47.7,25.1,25.5,6.3,7.7,92,448.8,456.7,20.8,2.78,2.02,906.576,922.4,0.205,12.3,12.5,0.306,47.4,48.2,18.4,7.1,19.9,16.4,16.7,34.6,3.9,8.2,91838.1,17.39,9.34,9.5,8.05,4.33,4.65,4.01,Moderate
Phoenix Suns,2014-15,82,102.9,39,242.4,98.68,288.6,292.5,20.2,20.5,2,2,43.8,44.4,23.9,24.2,7,8.3,102.4,409.9,415.4,20.4,2.99,2.25,922.275,934.6,0.25,13.2,13.4,0.535,39,39.5,15.2,5.3,18.3,13.7,13.9,35.1,3.7,9.5,87428.2,16.56,8.63,8.7,7.93,4.1,4.38,3.83,Isolation
Portland Trail Blazers,2014-15,82,105.5,51,242.1,96.46,287.6,298.2,21.9,22.7,3.2,3.3,47.2,48.9,26.8,27.8,7.6,9.3,102.8,406.4,421.3,21.4,3.16,2.45,995.68,1032.2,0.253,19,19.7,0.538,29.4,30.5,11.1,4,14.1,10,10.4,34.2,3.3,11.3,89627.1,16.97,9.29,9.6,7.68,4.21,4.54,3.88,Moderate
Sacramento Kings,2014-15,82,102.5,29,242.1,97.92,284,290,20.3,20.7,1.9,1.9,42.1,43,25.1,25.6,7.2,8.9,101.3,404.9,413.5,21.5,3.18,2.38,963.662,984.1,0.25,17.9,18.3,0.577,35.1,35.8,15.8,6.7,19.6,10,10.2,28.3,2.4,6.9,88883.5,16.83,9.04,9.2,7.8,4.17,4.45,3.89,Isolation
San Antonio Spurs,2014-15,82,106.2,55,243.4,95.93,342.4,356.9,24.4,25.4,4.2,4.4,47.7,49.7,31.1,32.4,7.1,9.1,103.2,460.8,480.4,21.3,2.77,2.13,981.504,1023.1,0.224,17.1,17.8,0.511,41.5,43.3,15.8,4.8,19,15.8,16.5,38,4.2,10.1,93333.5,17.68,9.74,10.2,7.93,4.37,4.75,3.97,Ball Movement
Toronto Raptors,2014-15,82,108.1,49,242.1,95.4,275.1,288.4,20.7,21.7,2.6,2.7,40.3,42.2,25.5,26.7,7.5,9.3,104,392.4,411.3,21.7,3.31,2.55,1000.62,1048.9,0.265,9.7,10.2,0.582,38.2,40,16.6,5.4,20,11.8,12.4,30.8,3.6,9.5,87292.4,16.53,8.84,9.3,7.69,4.1,4.3,3.9,Isolation
Utah Jazz,2014-15,82,102.5,38,240.3,92.78,364.1,392.4,19.9,21.4,2.7,2.9,46.3,49.9,25.7,27.7,5.5,7.1,95.1,479.7,517,21.4,2.68,1.89,906.633,977.2,0.198,9.9,10.7,0.472,38.6,41.6,14.2,5.7,15.6,14,15.1,36.4,3.7,9.6,89414.7,16.93,9.37,10.1,7.56,4.24,4.52,3.93,Moderate
Washington Wizards,2014-15,82,101.8,46,243.4,95.96,299.5,312.1,24,25,2.7,2.8,48,50,29.3,30.5,8,9.8,98.5,418.1,435.7,20.9,3,2.17,907.277,945.5,0.236,17.5,18.2,0.459,26.8,27.9,10.2,4.5,12.8,8.9,9.3,33.2,3.3,12.2,88890.2,16.84,8.94,9.3,7.9,4.15,4.45,3.85,Ball Movement
